pid,id,sent_rt,sit_rt,value
[16011212780],11,5624,0,4
[16011212780],6,4508,0,3
[16011212780],1,7886,0,2
[16011212780],14,9264,0,2
[4414896159],9,5506,0,1
[4414896159],16,4295,0,4
[4414896159],0,4991,0,4
[4414896159],3,5622,0,1
[4414896159],20,5280,0,2
[4414896159],1,5644,0,4
[4414896159],17,4552,0,2
[4414896159],7,8467,0,1
[4414896159],13,4622,0,2
[4414896159],12,4000,0,5
[4414896159],10,11792,0,3
[4414896159],5,9697,0,4
[4414896159],11,7786,0,1
[4414896159],6,6832,0,5
[4414896159],21,11995,0,0
[4414896159],2,11443,0,0
[4414896159],19,10101,0,1
[4414896159],4,8837,0,3
[4414896159],18,5937,0,0
[4414896159],14,6517,0,1
[8377617902],13,8368,0,0
[8377617902],11,5168,0,0
[8377617902],12,6682,0,4
[8377617902],1,7149,0,3
[8377617902],6,4485,0,2
[8377617902],18,9608,0,5
[8377617902],21,11712,0,0
[8377617902],4,5835,0,0
[8377617902],16,7531,0,3
[8377617902],0,10847,0,3
[8377617902],3,10263,0,2
[8377617902],19,8189,0,4
[8377617902],8,7484,0,0
[8377617902],10,8177,0,4
[8377617902],2,6146,0,4
[8377617902],15,5875,0,1
[8377617902],5,9126,0,4
[8377617902],7,5042,0,3
[8377617902],14,8363,0,4
[8377617902],20,10723,0,5
[3165996686],17,11762,0,4
[3165996686],16,9988,0,3
[3165996686],8,9034,0,0
[3165996686],2,9827,0,1
[3165996686],13,6528,0,4
[3165996686],3,9072,0,1
[3165996686],1,11300,0,4
[3165996686],14,6177,0,5
[3165996686],4,6615,0,3
[3165996686],12,10082,0,2
[3165996686],0,11312,0,0
[3165996686],21,6326,0,0
[3165996686],10,6377,0,0
[3165996686],7,5204,0,2
[3165996686],22,10376,0,2
[3165996686],18,5807,0,0
[3165996686],5,9229,0,4
[3165996686],6,11433,0,2
[3165996686],11,6675,0,5
[3165996686],19,9767,0,1
[13568815674],10,10735,0,2
[13568815674],21,4613,0,2
[13568815674],6,11849,0,2
[13568815674],18,11445,0,1
[13568815674],8,9565,0,4
[13568815674],0,7436,0,1
[13568815674],16,11679,0,3
[13568815674],4,5819,0,2
[13568815674],19,4429,0,0
[13568815674],7,6545,0,5
[13568815674],20,8173,0,3
[13568815674],1,11200,0,0
[13568815674],13,6329,0,1
[13568815674],22,5231,0,5
[13568815674],3,5786,0,4
[13568815674],11,8787,0,2
[13568815674],2,7825,0,0
[13568815674],5,5774,0,2
[13568815674],12,4412,0,3
[13568815674],14,7898,0,1
[14607005565],21,10010,0,0
[14607005565],16,6581,0,5
[14607005565],1,6603,0,4
[14607005565],12,10334,0,2
[14607005565],11,8027,0,1
[14607005565],7,7766,0,4
[14607005565],0,10724,0,3
[14607005565],18,9046,0,4
[14607005565],19,11880,0,2
[14607005565],17,4074,0,4
[14607005565],5,10135,0,4
[14607005565],6,11784,0,4
[14607005565],14,10565,0,5
[14607005565],4,5833,0,1
[14607005565],9,5874,0,5
[14607005565],13,6170,0,2
[14607005565],2,4075,0,2
[14607005565],22,9967,0,0
[14607005565],3,9259,0,1
[14607005565],8,10127,0,4
[18325860138],10,6958,0,0
[18325860138],11,6286,0,0
[18325860138],7,4191,0,1
[18325860138],13,8211,0,3
[18325860138],0,4095,0,3
[18325860138],14,4682,0,2
[18325860138],18,6592,0,3
[18325860138],5,7127,0,2
[18325860138],4,11574,0,2
[18325860138],22,9378,0,1
[18325860138],21,5336,0,0
[18325860138],16,8131,0,0
[18325860138],8,6892,0,0
[18325860138],17,10589,0,4
[18325860138],6,11347,0,0
[18325860138],3,11650,0,0
[18325860138],19,8224,0,3
[18325860138],12,7818,0,5
[18325860138],9,8612,0,4
[18325860138],1,10912,0,1
[16529372576],0,10325,0,0
[16529372576],22,8818,0,4
[16529372576],8,6754,0,5
[16529372576],11,10571,0,0
[16529372576],6,8676,0,3
[16529372576],21,10987,0,1
[16529372576],9,5737,0,2
[16529372576],1,4395,0,0
[16529372576],12,9331,0,2
[16529372576],16,9862,0,1
[16529372576],13,11024,0,5
[16529372576],3,6537,0,3
[16529372576],17,5954,0,0
[16529372576],5,7021,0,2
[16529372576],20,10476,0,1
[16529372576],7,9622,0,4
[16529372576],15,4795,0,5
[16529372576],4,6278,0,5
[16529372576],2,10046,0,1
[16529372576],14,6540,0,5
[13194476334],13,5822,0,5
[13194476334],2,9344,0,2
[13194476334],21,9330,0,4
[13194476334],12,9518,0,5
[13194476334],11,5108,0,4
[13194476334],4,7249,0,4
[13194476334],8,10528,0,3
[13194476334],15,8253,0,2
[13194476334],16,8492,0,0
[13194476334],6,11358,0,4
[13194476334],9,6988,0,0
[13194476334],17,9851,0,0
[13194476334],10,8697,0,4
[13194476334],19,11075,0,0
[13194476334],3,8985,0,2
[13194476334],14,9010,0,0
[13194476334],5,10936,0,0
[13194476334],1,6607,0,1
[13194476334],20,6654,0,4
[13194476334],7,4946,0,2
[15593452629],4,6933,0,3
[15593452629],18,7791,0,2
[15593452629],19,10970,0,4
[15593452629],13,6817,0,4
[15593452629],9,8796,0,1
[15593452629],17,10182,0,1
[15593452629],8,11126,0,2
[15593452629],3,11852,0,0
[15593452629],20,4283,0,3
[15593452629],2,9304,0,2
[15593452629],15,5596,0,0
[15593452629],10,11223,0,1
[15593452629],1,8895,0,2
[15593452629],12,7265,0,3
[15593452629],5,5603,0,0
[15593452629],0,10645,0,4
[15593452629],6,10752,0,5
[15593452629],11,11994,0,5
[15593452629],22,5158,0,5
[15593452629],14,6859,0,1
[8157971531],21,7124,0,0
[8157971531],8,5626,0,3
[8157971531],14,8550,0,2
[8157971531],13,11031,0,4
[8157971531],6,8938,0,0
[8157971531],19,10403,0,5
[8157971531],20,6006,0,4
[8157971531],5,6598,0,4
[8157971531],3,6594,0,5
[8157971531],15,5573,0,5
[8157971531],12,10011,0,2
[8157971531],10,4126,0,1
[8157971531],7,10961,0,1
[8157971531],4,8298,0,5
[8157971531],11,7814,0,2
[8157971531],16,9380,0,4
[8157971531],2,5988,0,3
[8157971531],22,7745,0,5
[8157971531],1,4525,0,5
[8157971531],9,5491,0,4
[12518348398],21,5737,0,4
[12518348398],1,4556,0,5
[12518348398],20,10637,0,4
[12518348398],12,4933,0,3
[12518348398],0,6561,0,0
[12518348398],3,6930,0,3
[12518348398],13,6626,0,1
[12518348398],5,9672,0,0
[12518348398],16,5302,0,0
[12518348398],14,7160,0,2
[12518348398],2,11901,0,2
[12518348398],4,11131,0,4
[12518348398],19,9793,0,2
[12518348398],10,4055,0,3
[12518348398],8,7451,0,2
[12518348398],7,11233,0,3
[12518348398],11,4527,0,1
[12518348398],9,11611,0,3
[12518348398],22,6767,0,5
[12518348398],15,6741,0,5
[17201104867],12,6200,0,4
[17201104867],0,9174,0,4
[17201104867],8,6729,0,4
[17201104867],22,7299,0,2
[17201104867],7,10144,0,1
[17201104867],10,5768,0,5
[17201104867],17,11342,0,3
[17201104867],5,6121,0,5
[17201104867],15,6795,0,1
[17201104867],20,10189,0,0
[17201104867],1,9471,0,1
[17201104867],14,7376,0,3
[17201104867],11,5866,0,4
[17201104867],16,9779,0,0
[17201104867],4,9134,0,0
[17201104867],6,10941,0,5
[17201104867],3,6864,0,0
[17201104867],18,6373,0,3
[17201104867],19,8013,0,4
[17201104867],9,7860,0,1
[13649273404],0,4330,0,2
[13649273404],4,11582,0,0
[13649273404],3,4319,0,0
[13649273404],19,5589,0,5
[13649273404],11,6823,0,0
[13649273404],8,8984,0,5
[13649273404],1,11803,0,4
[13649273404],20,4454,0,2
[13649273404],13,10474,0,3
[13649273404],7,10090,0,2
[13649273404],10,10856,0,2
[13649273404],16,8143,0,5
[13649273404],14,8566,0,0
[13649273404],6,10258,0,3
[13649273404],9,11858,0,2
[13649273404],21,8234,0,5
[13649273404],17,11353,0,1
[13649273404],5,11898,0,4
[13649273404],12,4228,0,0
[13649273404],22,10176,0,3
